LogIdentifierID|LogServiceID|PrimaryFG
COSMO|3409|1
COTT|3262|1
COURT|3410|0
CP24|3632|1
CPAC|3411|1
CPOP|3412|1
CPTF|3632|0
CPUNJ|3631|0
CRIKT|3413|1
CSCN|3414|1
CTOON|3415|1
CTV|3416|1
CTVN1|3417|0
CTVNC|3417|1
CULT|3418|1
CVIE|3231|0
DCFCN|3419|1
DCFTO|3420|1
DCHAN|3421|1
DCHCH|3422|1
DCICT|3423|1
DCIII|3424|1
DCITS|3425|1
DCITV|3426|1
DCIVT|3427|1
DEJA|3428|1
DISCIV|3429|0
DISCOV|3695|0
DISSCI|3429|1
DISVEL|3435|1
DIVA|3430|1
DIY|3431|1
DKID|3432|1
DOCS|3433|1
DORAGI|3195|0
DRIVE|3434|0
DSNYEN|3916|1
DSNYFR|3710|1
DSNYJR|3917|1
DSNYRF|3710|0
DSNYXD|3918|1
DTHEA|3435|0
DTOUR|3628|1
DUSK|3653|0
DXDCHA|3436|0
E!|3682|1
EA01|3437|1
EA02|3438|1
EA1|3439|1
EA2|3440|1
EDGE|3441|1
EQHD|3443|0
EQTR|3443|0
EQTV|3442|1
EQUAT|3443|0
ESPN|3444|1
EURO|3445|1
EXP|3446|1
FACHTV|3447|1
FACHV|3448|0
FACHV2|3449|1
FAMCHA|3450|1
FAMJR|3625|1
FASH|3451|1
FCTV|3447|0
FEVA|3905|1
FFTV|3448|0
FIGHT|3452|1
FILIP|3453|1
FNTSY|3454|1
FOOD|3455|1
FPTV|3456|1
FSWC|3457|1
FTV|3448|1
FXC|3458|1
FXX|3459|1
FYI|3465|1
GAME|3305|1
GLOBAL|3335|0
GOLTV|3460|1
GREEN|3461|1
GUJARA|3462|1
GUS|3593|1
GUSTO|3463|1
HARD|3464|0
HEALTH|3465|0
HFEST|3466|0
HGTV|3467|1
HIFI|3714|0
HIST|3469|0
HISTO|3469|0
HISTORIA|3468|0
HISTORY|3469|1
HPITV|3715|1
HSTORM|3470|0
HTBC|3471|1
HTN01|3472|1
HTN02|3473|1
HTN03|3474|1
HTN04|3475|1
HTN05|3476|1
HTN06|3477|1
HTN07|3478|1
HTN08|3479|1
HTN09|3480|1
HTN10|3481|1
HTN11|3482|1
HTN12|3483|1
HTN13|3484|1
